Rep-id,Condition,Task,SOA,Time,Act-Red,Act-Green
0,control,color naming,-10,0,0.500584387174667,0.4993094319633994
0,control,color naming,-10,1,0.50044775423681,0.5005285046701564
0,control,color naming,-10,2,0.4872129485513913,0.5013092510474123
0,control,color naming,-10,3,0.4860987054950746,0.48955911584188366
0,control,color naming,-10,4,0.485734663051212,0.48684680841553424
0,control,color naming,-10,5,0.47636071136676145,0.4771304552999391
0,control,color naming,-10,6,0.47532052142238684,0.4790941038254118
0,control,color naming,-10,7,0.4882831227580146,0.4863133369484988
0,control,color naming,-10,8,0.49277991004129845,0.47773228332778606
0,control,color naming,-10,9,0.4820236694530997,0.481092208309966
0,control,color naming,-10,10,0.49059768585370916,0.4865583279222001
0,control,color naming,-10,11,0.4982183067447806,0.49978736502323556
0,control,color naming,-10,12,0.4941366557491383,0.4870180320159431
0,control,color naming,-10,13,0.4759336167779648,0.48661928742390154
0,control,color naming,-10,14,0.47574013709984564,0.4783097794327834
0,control,color naming,-10,15,0.475893206141447,0.4680908129417147
0,control,color naming,-10,16,0.47412152924906314,0.462916927635325
0,control,color naming,-10,17,0.48755488074821246,0.46117597819251305
0,control,color naming,-10,18,0.4945378854165936,0.4578806289483779
0,control,color naming,-10,19,0.5060361889129756,0.4564188867901536
0,control,color naming,-10,20,0.5119201691672632,0.4550406541665276
0,control,color naming,-10,21,0.5131140592780102,0.44488724991353645
0,control,color naming,-10,22,0.5140927571476394,0.4252403340003615
0,control,color naming,-10,23,0.5246509496464754,0.42076002495770604
0,control,color naming,-10,24,0.541841972519367,0.41863277703814716
0,control,color naming,-10,25,0.5508740247257542,0.41471284066221215
0,control,color naming,-10,26,0.5590024975351715,0.39485094062094384
0,control,color naming,-10,27,0.5634245360307607,0.4018779980763892
0,control,color naming,-10,28,0.5714686998518901,0.3971080107388356
0,control,color naming,-10,29,0.5849548474903559,0.40011154654449504
0,control,color naming,-10,30,0.6075189101356094,0.3886833571901911
0,control,color naming,-10,31,0.6184380555180254,0.39104154577776934
0,control,color naming,-10,32,0.6358244449621362,0.36966782045510216
0,control,color naming,-10,33,0.6350126310346392,0.371828095851396
0,control,color naming,-10,34,0.6365909815900119,0.35581354197222714
0,control,color naming,-10,35,0.6572794677945214,0.3414268050396279
0,control,color naming,-10,36,0.665910947319972,0.3422087112446894
0,control,color naming,-10,37,0.6773136697569725,0.34218629688836044
0,control,color naming,-10,38,0.7044053085343513,0.3356204398585115
0,control,color naming,-10,39,0.7172150133066991,0.3087571314815294
0,control,color naming,-10,40,0.7244670842896531,0.2993089418132855
0,control,color naming,-10,41,0.7352228312644827,0.29561678142451764
0,control,color naming,-10,42,0.7570138832935615,0.284556000845418
0,control,color naming,-10,43,0.7627147123249066,0.2748599693941376
0,control,color naming,-10,44,0.7789075391372746,0.2782242768401804
0,control,color naming,-10,45,0.781187085285146,0.2591110976702722
0,control,color naming,-10,46,0.7810798093198212,0.2621621067500917
0,control,color naming,-10,47,0.7894671612485599,0.2459488370508149
0,control,color naming,-10,48,0.7973344591632282,0.23588607244012308
0,control,color naming,-10,49,0.8084361328110363,0.22970172916975568
0,control,color naming,-10,50,0.8209999967041788,0.21502482715210167
0,control,color naming,-10,51,0.8251065118782726,0.19663248905672237
0,control,color naming,-10,52,0.8338813299617276,0.18696795576939063
0,control,color naming,-10,53,0.8401410649581498,0.18143753957354336
0,control,color naming,-10,54,0.8522853349110736,0.17084555375336802
0,control,color naming,-10,55,0.8533697323689579,0.16288043436103397
0,control,color naming,-10,56,0.8602990056817479,0.15398371867535995
0,control,color naming,-10,57,0.8667129386055159,0.15041897113358843
0,control,color naming,-10,58,0.8699170735696679,0.14005374039824345
0,control,color naming,-10,59,0.8771413396927975,0.13009906393523235
0,control,color naming,-10,60,0.8768532452658635,0.12722966566662036
0,control,color naming,-10,61,0.8757096268243263,0.12508172158236358
0,control,color naming,-10,62,0.882773550902727,0.1192767756913661
0,control,color naming,-10,63,0.8903220859664096,0.11668139575925698
0,control,color naming,-10,64,0.8981658502413801,0.11130220044552239
0,control,color naming,-10,65,0.905849917246261,0.10286763694121784
0,control,color naming,-10,66,0.9112686815782406,0.09435575409478728
0,control,color naming,-10,67,0.9142749092504255,0.08833682959073431
0,control,color naming,-10,68,0.916980047638546,0.08344759625633417
0,control,color naming,-10,69,0.921045431460205,0.08047931981954938
0,control,color naming,-10,70,0.9267709406537911,0.07428896210698872
0,control,color naming,-10,71,0.931031095302624,0.07109021956993214
0,control,color naming,-10,72,0.939176788422344,0.06629075608338886
0,control,color naming,-10,73,0.9434842570811932,0.06063402977082702
0,control,color naming,-10,74,0.9476327048565005,0.05618518064817388
0,control,color naming,-10,75,0.9496915589803618,0.05238839644132726
0,control,color naming,-10,76,0.9534092418014916,0.04966623773684045
0,control,color naming,-10,77,0.9549114057735486,0.04672603863127084
0,control,color naming,-10,78,0.9565226690303589,0.04246646046226537
0,control,color naming,-10,79,0.9591870760239679,0.041625890698902726
0,control,color naming,-10,80,0.9614063709499722,0.03836117808568661
0,control,color naming,-10,81,0.9624016234342628,0.03689018618517543
0,control,color naming,-10,82,0.9674700539278654,0.03374109586280045
0,control,color naming,-10,83,0.9705620862117031,0.030538595056769566
0,control,color naming,-10,84,0.9732019507602929,0.028247245558324786
0,control,color naming,-10,85,0.9749170542308289,0.025222636419714648
0,control,color naming,-10,86,0.9773010259292892,0.02296087258613554
0,control,color naming,-10,87,0.9786397581586211,0.021372450734133325
0,control,color naming,-10,88,0.981111939361876,0.020283961711115007
